English,kabyle 
moon,Agur
mother,Tayemat
happy birthday,amulliameggaz
friend,Ameddakel
girl,taqcict
idiot,Aghyul
stole,yuker
study,azraw
hello,azul
Felling good,l3alit
whats up,Amek
cow,tafonast
water,aman
bread,aghroum
summer,anevdu
ifelt,husseghqs
iate,chigh
ididnt understand,oufhimeghara
faith,tawsin
dick,abouchiw
ass,a9er9our
todo,atxedmed
i,nekki
men,argaz
sell,azenzi
iwanted,bghigh
i_wanted_to_ask_u ,akseqsigh
Home,akhm
Sky,igenni
what,iwach
cold,asemmidh
hold_me,itfiyi
day,ass(ussan)
we_dont_have,unes3ara
because,axater
go_in,akchem
go_out,ffegh
nothinhg,oulach
sit_down,a9im
True,tidett
winter,chetwa
open,aldi
door,tabourt
i_told_him,nighas
or,negh
now,tura
hand,afus
Heart,ul
bro,gma(Yewwa)
name,issem
Alive,yedder
Hole_of_u,takhna
fuck you,roh attefkedh
i will fuck you,akeggagh[akeqqough]
flirt with you,akmech7agh takhnak

